Set 12, h = 28, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 29, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 30, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 31, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 32, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 33, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 34, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 35, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 36, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 37, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 38, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 39, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 40, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 41, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 42, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 43, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 44, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 45, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 46, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 47, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 48, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 49, f1Test = 0,842133, f1Train = 1,000000
Optimal height: 7, f1Test = 0,866313, f1Train = 0,891832
Using random forest: f1Test = 0,653588, f1Train = 1,000000

Set 13, h = 0, f1Test = 0,462623, f1Train = 0,471248
Set 13, h = 1, f1Test = 0,475983, f1Train = 0,492604
Set 13, h = 2, f1Test = 0,456414, f1Train = 0,485891
Set 13, h = 3, f1Test = 0,422120, f1Train = 0,464849
Set 13, h = 4, f1Test = 0,524910, f1Train = 0,566422
Set 13, h = 5, f1Test = 0,619461, f1Train = 0,676272
Set 13, h = 6, f1Test = 0,616129, f1Train = 0,768824
Set 13, h = 7, f1Test = 0,624955, f1Train = 0,858727
Set 13, h = 8, f1Test = 0,598228, f1Train = 0,916826
Set 13, h = 9, f1Test = 0,593223, f1Train = 0,964052
Set 13, h = 10, f1Test = 0,586384, f1Train = 0,980192
